Keyword,Rank,Title_Of_Page,URL,Lenght_Of_Title,Presence_of_Keyword_in_Title,Title_Starts_with_Keyword,Lenght_of_Url,Presence_Of_Keyword_In_Url,Domain_Name,No_of_H1_Tags,Presence_of_Keyword_in_H1_Tag,No_of_H2_tags,Presence_of_Keyword_in_H2_Tag,No_of_H3_Tags,Presence_of_Keyword_in_H3_Tag,Content_Lenght,Keyword_Denisty,Lenght_of_Description,Keyword_in_Description,Total_Images,Images_Without_Alt_Tags,Images_With_Alt_Tag,Keyword_in_Alt_Tags_of_Images,Total_Links,Internal_Links,External_Links,Presence_of_Internal_Link,Presence_of_External_Links
wordpress,13.0,Education WordPress Theme | Eduma by ThimPress ...,https://themeforest.net/item/education-wordpress-theme-education-wp/14058034,50,1,1,76,1,themeforest.net,2,1,3,0,19,0,32773,0.18,187,0,8,1,7,1,279,168,111,1,1
wordpress,14.0,WooCommerce - Sell Online With The eCommerce Platform ...,https://woocommerce.com/,57,0,0,24,0,woocommerce.com,2,0,1,0,1,0,7715,0.06,92,0,17,2,15,0,112,101,11,1,1
wordpress,15.0,WordPress Hosting | FASTEST & BEST WordPress Web Hosting,https://www.a2hosting.com/wordpress-hosting,56,1,1,43,1,www.a2hosting.com,1,1,19,1,47,1,41293,0.5,144,0,65,27,38,2,122,110,12,1,1
wordpress,16.0,11 Best Freelance WordPress Developers [Hire in 48 Hours ...,https://www.toptal.com/wordpress,60,1,1,32,1,www.toptal.com,1,1,11,1,27,0,30528,0.26,183,0,27,10,17,11,88,72,16,1,1
wordpress,17.0,Divi — The Ultimate WordPress Theme & Visual Page Builder,https://www.elegantthemes.com/gallery/divi/,57,1,1,43,0,www.elegantthemes.com,2,0,38,1,111,0,37074,0.07,97,0,143,1,142,0,158,116,42,1,1
wordpress,18.0,WordPress Tutorials - SiteGround,https://www.siteground.com/tutorials/wordpress/,32,1,1,47,1,www.siteground.com,1,1,3,1,2,0,6124,1.05,119,0,1,1,0,0,89,76,13,1,1
wordpress,19.0,"Managed WordPress Hosting, Perfected. WP Engine®",https://wpengine.com/,48,1,1,21,0,wpengine.com,1,1,9,0,7,0,6709,0.19,166,0,30,2,28,0,58,48,10,1,1
wordpress,20.0,WordPress.com Apps - Mobile Apps,https://apps.wordpress.com/mobile/,32,0,0,34,1,apps.wordpress.com,1,1,7,1,2,0,1919,0.16,19,0,7,1,6,0,16,5,11,1,1
wordpress,21.0,WordPress Tutorial - WordPress Guide For Beginners (2021),https://www.hostinger.com/tutorials/wordpress/,57,1,1,46,1,www.hostinger.com,2,1,10,1,29,1,32737,0.6,208,0,58,11,47,26,111,83,28,1,1
wordpress,22.0,Managed WordPress Hosting with Guaranteed Speed Boost,https://www.cloudways.com/en/wordpress-hosting.php,53,1,1,50,1,www.cloudways.com,1,1,20,1,6,0,32609,0.23,146,0,48,21,27,0,80,65,15,1,1
wordpress,23.0,WordPress VIP: The Enterprise Content Management Platform,https://wpvip.com/,57,1,1,18,0,wpvip.com,4,1,21,1,3,0,5695,0.18,152,0,18,16,2,0,38,32,6,1,1
wordpress,24.0,How to Use WordPress: Ultimate Guide to Building a ...,https://blog.hubspot.com/marketing/wordpress-website,54,0,0,52,1,blog.hubspot.com,1,1,6,0,16,0,31972,0.39,117,0,38,1,37,29,149,36,113,1,1
wordpress,25.0,WordPress Training Courses & Tutorials | Learn WordPress ...,https://www.udemy.com/topic/wordpress/,60,1,1,38,1,www.udemy.com,1,1,1,1,7,1,11020,0.46,199,0,2,0,2,0,243,235,8,1,1
wordpress,26.0,WordPress Hosting | Fast and Secure with Award-winning ...,https://www.godaddy.com/hosting/wordpress-hosting,58,1,1,49,1,www.godaddy.com,1,1,12,0,29,0,19114,0.33,153,0,13,2,11,0,129,7,122,1,1
wordpress,27.0,IsItWP - Free WordPress Theme Detector,https://www.isitwp.com/,38,1,1,23,0,www.isitwp.com,1,1,10,1,4,0,5841,0.43,147,0,13,2,11,3,90,80,10,1,1
wordpress,28.0,How to Make a WordPress Website: Step-by-Step Guide for ...,https://themeisle.com/blog/how-to-make-a-website/,59,1,1,49,0,themeisle.com,1,1,11,0,22,0,37125,0.27,141,0,120,0,120,16,111,78,33,1,1
wordpress,29.0,2020's Most Surprising WordPress Statistics ...,https://www.whoishostingthis.com/compare/wordpress/stats/,47,1,1,57,1,www.whoishostingthis.com,1,1,29,1,11,0,21493,0.63,138,0,22,6,16,2,157,128,29,1,1
wordpress,30.0,Wordpress Development Services | Fiverr,https://www.fiverr.com/categories/programming-tech/wordpress-services,39,1,1,69,1,www.fiverr.com,1,1,3,1,54,0,10491,0.81,147,0,61,1,60,43,177,150,27,1,1
wordpress,31.0,WordPress - Website | Facebook - 16 Photos,https://www.facebook.com/WordPress/,42,1,1,35,1,www.facebook.com,1,1,1,1,0,0,3541,0.88,96,0,47,38,9,0,61,60,1,1,1
wordpress,32.0,Bluehost WordPress Recommended Hosting Plans - Bluehost,https://www.bluehost.com/wordpress,55,1,1,34,1,www.bluehost.com,1,1,6,0,8,1,5893,0.51,0,0,5,2,3,0,51,36,15,1,1
wordpress,33.0,WPML - The WordPress Multilingual Plugin,https://wpml.org/,40,1,1,17,0,wpml.org,1,1,4,0,3,0,3754,0.21,145,0,52,4,48,2,60,53,7,1,1
wordpress,34.0,27 Best Freelance WordPress Developers For Hire In January ...,https://www.upwork.com/hire/wordpress-developers/,62,1,1,49,1,www.upwork.com,1,1,31,0,14,0,32565,0.53,131,0,45,5,40,0,111,100,11,1,1
wordpress,35.0,Elementor: #1 Free WordPress Website Builder | Elementor.com,https://elementor.com/,60,1,1,22,0,elementor.com,1,1,5,0,19,0,10836,0.23,156,0,33,19,14,1,61,43,18,1,1
wordpress,36.0,Free Online WordPress Courses & Tutorials - Digiskills,https://digiskills.pk/CourseDetails.aspx?Id=WPS101,54,1,1,50,0,digiskills.pk,1,1,1,0,4,0,5930,0.22,115,0,12,1,11,0,25,13,12,1,1
wordpress,37.0,WordPress Tavern – WordPress News — Free as in Beer.,https://wptavern.com/,52,1,1,21,0,wptavern.com,1,1,12,0,6,0,5753,0.59,0,0,21,20,1,0,34,28,6,1,1
wordpress,38.0,WordPress Plugins - WP Plugins | CodeCanyon,https://codecanyon.net/category/wordpress,43,1,1,41,1,codecanyon.net,1,1,12,1,34,0,18072,0.42,122,0,40,0,40,11,316,244,72,1,1
wordpress,39.0,Fast Low-Cost WordPress Hosting - Powered by Namecheap,https://www.namecheap.com/wordpress/,54,1,1,36,1,www.namecheap.com,1,1,11,0,8,0,13642,0.29,157,0,6,2,4,0,103,94,9,1,1
wordpress,40.0,Top WordPress Plugins Every Blog Should Have - Yoast,https://yoast.com/top-wordpress-plugins/,52,1,1,40,1,yoast.com,1,1,8,0,2,1,20847,0.1,137,0,59,1,58,0,71,41,30,1,1
wordpress,41.0,What is WordPress? A Simple Explanation For Beginners.,https://wpapprentice.com/wordpress-for-beginners/what-is-wordpress/,54,0,0,67,1,wpapprentice.com,1,1,14,1,6,0,11595,1.16,143,0,8,4,4,4,62,47,15,1,1
wordpress,42.0,How To Make a WordPress Website - For Beginners - YouTube,https://www.youtube.com/watch?v=8AZ8GqW5iak,57,1,1,43,0,www.youtube.com,0,0,1,0,1,0,2310,0.04,160,0,0,0,0,0,14,12,2,1,1
wordpress,43.0,"WordPress/WordPress: WordPress, Git-ified. This ... - GitHub",https://github.com/WordPress/WordPress,60,0,0,38,1,github.com,1,1,8,0,2,0,8250,0.44,278,1,17,5,12,0,134,109,25,1,1
wordpress,44.0,Web Stories for WordPress - Download the free WordPress ...,https://wp.stories.google/,59,1,1,26,0,wp.stories.google,2,1,0,0,0,0,1349,0.22,213,0,2,2,0,0,16,3,13,1,1
wordpress,45.0,WordPress Themes - 2021's Best WordPress Templates at ...,https://www.templatemonster.com/wordpress-themes.php,57,1,1,52,1,www.templatemonster.com,1,1,6,1,43,1,26384,0.37,151,0,53,1,52,35,443,325,118,1,1
wordpress,46.0,WordPress Toolkit | cPanel - cPanel & WHM,https://cpanel.net/wp-toolkit/,41,1,1,30,0,cpanel.net,1,1,3,1,12,1,8400,0.63,0,0,20,20,0,0,64,49,15,1,1
wordpress,47.0,WordPress plugins - Stripe,https://stripe.com/docs/plugins/wordpress,26,1,1,41,1,stripe.com,1,1,4,0,0,0,3288,0.64,0,0,0,0,0,0,52,43,9,1,1
wordpress,48.0,"Astra – Fast, Lightweight & Customizable Free WordPress ...",https://wpastra.com/,59,1,1,20,0,wpastra.com,1,0,10,0,10,0,15388,0.06,157,0,42,40,2,0,46,27,19,1,1
wordpress,49.0,WordPress Hosting - WordPress Website Optimized | InMotion ...,https://www.inmotionhosting.com/wordpress-hosting,62,1,1,49,1,www.inmotionhosting.com,1,1,15,0,38,0,21245,0.63,124,0,76,2,74,8,79,69,10,1,1
wordpress,50.0,WordPress | LinkedIn,https://www.linkedin.com/company/wordpress,20,1,1,42,1,www.linkedin.com,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0
wordpress,51.0,Gravity Forms | The Best WordPress Form Plugin | Form Builder,https://www.gravityforms.com/,61,1,1,29,0,www.gravityforms.com,8,1,8,0,8,0,5322,0.24,141,0,8,4,4,0,44,41,3,1,1
wordpress,52.0,WPBakery Page Builder: #1 WordPress Page Builder Plugin,https://wpbakery.com/,55,1,1,21,0,wpbakery.com,1,1,11,0,1,1,5204,0.25,149,0,17,2,15,2,34,29,5,1,1
wordpress,53.0,50 Best WordPress Plugins to Try [Most Are FREE] - WPForms,https://wpforms.com/best-free-wordpress-plugins-for-your-website/,58,1,1,65,1,wpforms.com,1,1,2,1,153,0,56970,0.27,136,0,76,23,53,26,225,132,93,1,1
wordpress,54.0,Managed WordPress Hosting » Plans starting at $1/month,https://www.ionos.com/hosting/wordpress-hosting,54,1,1,47,1,www.ionos.com,1,1,11,1,19,0,29581,0.32,171,0,165,107,58,11,129,109,20,1,1
wordpress,55.0,WordPress Tutorial - Tutorialspoint,https://www.tutorialspoint.com/wordpress/index.htm,35,1,1,50,1,www.tutorialspoint.com,3,1,0,0,0,0,5203,1.54,181,0,6,0,6,3,130,120,10,1,1
wordpress,56.0,ManageWP – Manage WordPress Sites from One Dashboard,https://managewp.com/,52,1,1,21,0,managewp.com,1,1,4,1,3,1,6556,0.12,149,0,11,5,6,0,30,25,5,1,1
wordpress,57.0,WordPress Theme Detector - Free online tool to find a site´s ...,https://www.wpthemedetector.com/,64,1,1,32,0,www.wpthemedetector.com,1,1,1,1,7,1,7803,0.44,149,0,26,10,16,2,38,32,6,1,1
wordpress,58.0,"WordPress Hosting - Full Featured, Fast, Secure ... - DreamHost",https://www.dreamhost.com/wordpress/,63,1,1,36,1,www.dreamhost.com,1,1,35,1,16,1,57049,0.42,153,0,36,29,7,7,109,87,22,1,1
wordpress,59.0,wordpress - Docker Hub,https://hub.docker.com/_/wordpress,22,1,1,34,1,hub.docker.com,8,1,9,0,1,0,9328,0.25,0,0,3,0,3,0,104,14,90,1,1
wordpress,60.0,"WPExplorer | WordPress Tips, Tutorials, Resources, Themes ...",https://www.wpexplorer.com/,61,1,1,27,0,www.wpexplorer.com,1,1,4,1,13,0,3187,0.85,155,0,14,0,14,3,29,25,4,1,1
wordpress,61.0,40 brilliant WordPress tutorials | Creative Bloq,https://www.creativebloq.com/web-design/wordpress-tutorials-designers-1012990,48,1,1,77,1,www.creativebloq.com,1,1,16,1,0,0,12944,0.54,200,0,45,25,20,10,86,49,37,1,1
wordpress,62.0,Create Your WordPress Website Today - Visual Composer ...,https://visualcomposer.com/,57,1,1,27,0,visualcomposer.com,1,1,15,1,3,1,7861,0.15,146,0,24,0,24,0,50,45,5,1,1
wordpress,63.0,"Jetpack: WordPress Security, Backups, Speed, & Growth",https://jetpack.com/,53,1,1,20,0,jetpack.com,2,0,8,1,12,0,4683,0.3,130,0,20,2,18,6,61,46,15,1,1
wordpress,64.0,WordPress Development Stack Exchange,https://wordpress.stackexchange.com/,36,1,1,36,1,wordpress.stackexchange.com,2,0,0,0,17,0,11687,0.1,47,0,5,4,1,1,226,78,148,1,1
wordpress,65.0,Newest 'wordpress' Questions - Stack Overflow,https://stackoverflow.com/questions/tagged/wordpress,45,0,0,52,1,stackoverflow.com,2,1,0,0,18,0,17564,0.19,0,0,16,16,0,0,257,119,138,1,1
wordpress,66.0,WPMU DEV - Your All-in-One WordPress Platform,https://premium.wpmudev.org/,45,1,1,28,0,premium.wpmudev.org,1,1,5,0,7,0,7830,0.11,120,0,25,10,15,0,60,54,6,1,1
wordpress,67.0,Fast & Secure Dedicated Wordpress Hosting Plans | iPage,https://www.ipage.com/wordpress-hosting,55,1,1,39,1,www.ipage.com,1,1,11,1,6,1,4141,0.56,158,0,5,0,5,0,32,23,9,1,1
wordpress,68.0,OceanWP: Free Multi-Purpose WordPress Theme,https://oceanwp.org/,43,1,1,20,0,oceanwp.org,0,0,9,0,17,0,8052,0.05,129,0,96,24,72,2,60,41,19,1,1
wordpress,69.0,WordPress Stats: Your Ultimate List of WordPress Statistics ...,https://www.codeinwp.com/blog/wordpress-statistics/,63,1,1,51,1,www.codeinwp.com,2,1,8,1,3,0,18763,1.0,133,0,39,6,33,14,113,45,68,1,1
wordpress,70.0,45+ Best Free Responsive WordPress Themes 2021 - aThemes,https://athemes.com/collections/free-wordpress-themes/,56,1,1,54,1,athemes.com,1,1,49,0,4,1,54783,0.11,181,0,125,68,57,24,131,61,70,1,1
wordpress,71.0,WP Buffs | 24/7 WordPress website management,https://wpbuffs.com/,44,1,1,20,0,wpbuffs.com,1,1,7,0,2,1,16401,0.21,155,0,69,37,32,6,56,44,12,1,1
wordpress,72.0,WordPress Integrations | Connect Your Apps with Zapier,https://zapier.com/apps/wordpress/integrations,54,1,1,46,1,zapier.com,1,1,11,1,128,1,11222,1.35,158,0,45,2,43,31,168,163,5,1,1
wordpress,73.0,"WordPress - Online Courses, Classes, Training ... - Lynda.com",https://www.lynda.com/WordPress-training-tutorials/330-0.html,61,1,1,61,1,www.lynda.com,1,1,2,0,68,0,32740,0.4,128,0,68,6,62,57,363,348,15,1,1
wordpress,74.0,"Usage Statistics and Market Share of WordPress, January 2021",https://w3techs.com/technologies/details/cm-wordpress,60,0,0,53,1,w3techs.com,1,1,10,1,7,0,4777,0.52,37,0,14,4,10,2,173,160,13,1,1
wordpress,75.0,WordPress LMS Plugin by LearnDash®,https://www.learndash.com/,34,1,1,26,0,www.learndash.com,1,1,11,0,46,0,21942,0.08,154,0,104,81,23,0,36,28,8,1,1
wordpress,76.0,ACF | Advanced Custom Fields Plugin for WordPress,https://www.advancedcustomfields.com/,49,1,1,37,0,www.advancedcustomfields.com,1,1,2,0,15,0,3602,0.08,68,0,3,0,3,0,25,15,10,1,1
wordpress,77.0,Install and configure WordPress | Ubuntu,https://ubuntu.com/tutorials/install-and-configure-wordpress,40,1,1,60,1,ubuntu.com,0,0,8,0,3,0,7558,0.32,131,0,20,0,20,1,57,26,31,1,1
wordpress,78.0,WordPress Hosting | DigitalOcean Marketplace 1-Click App,https://marketplace.digitalocean.com/apps/wordpress,56,1,1,51,1,marketplace.digitalocean.com,0,0,4,0,2,1,7184,0.29,59,0,2,0,2,1,59,16,43,1,1
wordpress,79.0,50+ Best Free Responsive WordPress Themes 2021 - Colorlib,https://colorlib.com/wp/free-wordpress-themes/,57,1,1,46,1,colorlib.com,1,1,1,1,63,0,64715,0.18,121,0,78,21,57,33,244,150,94,1,1
wordpress,80.0,WordPress - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/wordpress,48,1,1,49,1,www.crunchbase.com,1,1,6,0,0,0,4100,0.2,88,0,6,3,3,1,74,43,31,1,1
wordpress,81.0,Cloudflare WordPress Plugin | WordPress Optimization ...,https://www.cloudflare.com/integrations/wordpress/,56,1,1,50,1,www.cloudflare.com,1,1,4,0,9,0,24353,0.11,170,0,20,0,20,2,194,137,57,1,1
wordpress,82.0,WordPress - Bug Bounty Program | HackerOne,https://hackerone.com/wordpress,42,1,1,31,1,hackerone.com,0,0,0,0,0,0,128,0,273,0,0,0,0,0,0,0,0,0,0
wordpress,83.0,4 Reasons You Should Never Use WordPress.com - Crazy Egg,https://www.crazyegg.com/blog/reasons-to-use-wordpress/,56,0,0,55,1,www.crazyegg.com,1,1,12,0,1,0,9816,0.66,103,0,15,2,13,9,71,43,28,1,1
wordpress,84.0,WordPress (@WordPress) | Twitter,https://twitter.com/wordpress?lang=en,32,1,1,37,1,twitter.com,4,0,4,1,0,0,3334,1.14,0,0,25,16,9,0,45,36,9,1,1
wordpress,85.0,WordPress.tv – Engage Yourself with WordPress.tv,https://wordpress.tv/,48,0,0,21,1,wordpress.tv,1,0,0,0,5,0,2246,0.85,33,0,25,21,4,1,35,25,10,1,1
wordpress,86.0,Download WordPress Themes & Templates - Envato Elements,https://elements.envato.com/wordpress,55,1,1,37,1,elements.envato.com,1,1,3,1,5,0,8932,0.44,166,0,47,0,47,24,264,214,50,1,1
wordpress,87.0,Best WordPress hosting of 2021 | TechRadar,https://www.techradar.com/news/best-wordpress-hosting-providers,42,1,1,63,1,www.techradar.com,1,1,3,1,14,0,19241,0.23,77,0,30,24,6,3,104,75,29,1,1
wordpress,88.0,Easy WP Guide. An Easy to read WordPress Manual,https://easywpguide.com/wordpress-manual/,47,1,1,41,1,easywpguide.com,1,1,1,0,0,0,6402,0.17,141,0,2,0,2,0,170,163,7,1,1
wordpress,89.0,Responsive WordPress Carousel | WordPress Plugin,https://www.wonderplugin.com/wordpress-carousel/,48,1,1,48,1,www.wonderplugin.com,3,0,5,1,17,0,33293,0.5,322,0,34,1,33,16,80,76,4,1,1
wordpress,90.0,Flywheel | Managed WordPress Hosting for Designers and ...,https://getflywheel.com/,58,1,1,24,0,getflywheel.com,1,1,7,0,13,0,13749,0.28,156,0,91,61,30,0,81,74,7,1,1
wordpress,91.0,Developer Resources - WordPress.com,https://developer.wordpress.com/,35,0,0,32,1,developer.wordpress.com,1,0,1,0,8,0,1829,0.44,58,0,12,3,9,0,31,22,9,1,1
wordpress,92.0,What WordPress Theme Is That?,https://whatwpthemeisthat.com/,29,1,1,30,0,whatwpthemeisthat.com,1,1,7,1,1,0,1326,1.06,0,0,3,0,3,1,9,8,1,1,1
wordpress,93.0,WordPress Themes by StudioPress,https://www.studiopress.com/,31,1,1,28,0,www.studiopress.com,1,1,7,1,1,0,1326,1.06,0,0,3,0,3,1,9,7,2,1,1
wordpress,94.0,21 Fascinating Facts About WordPress - Digital.com,https://digital.com/wordpress-hosting/wordpress-stats/,50,1,1,54,1,digital.com,1,1,0,0,21,1,12172,0.47,153,0,10,0,10,2,163,142,21,1,1
wordpress,95.0,WordPress | Meetup Pro - Meetup,https://www.meetup.com/pro/wordpress,31,1,1,36,1,www.meetup.com,1,1,4,0,1,1,3758,2.26,211,0,86,34,52,31,46,41,5,1,1
wordpress,96.0,WP Rocket: Caching Plugin for WordPress,https://wp-rocket.me/,39,1,1,21,0,wp-rocket.me,2,0,6,0,9,0,5139,0.1,155,0,47,43,4,1,16,16,0,1,0
wordpress,97.0,AppPresser: Build Mobile Apps with WordPress,https://apppresser.com/,44,1,1,23,0,apppresser.com,1,1,4,0,13,0,9077,0.2,147,0,25,5,20,0,35,28,7,1,1
wordpress,98.0,WordPress Packagist: Manage your plugins and themes with ...,https://wpackagist.org/,60,1,1,23,0,wpackagist.org,1,1,0,0,7,0,3296,0.3,0,0,1,0,1,1,17,2,15,1,1
wordpress,99.0,Wordfence: WordPress Security Plugin,https://www.wordfence.com/,36,1,1,26,0,www.wordfence.com,1,1,8,0,20,0,14328,0.1,138,0,34,18,16,0,38,27,11,1,1
wordpress,100.0,Managed WordPress Hosting from Pressable,https://pressable.com/,40,1,1,22,0,pressable.com,1,1,11,1,13,0,11237,0.44,132,0,63,44,19,8,47,36,11,1,1
shoes,1.0,"Shoes - Buy Shoes for Men, Women & Kids online in India ...",https://www.myntra.com/shoes,59,1,1,28,1,www.myntra.com,1,1,2,1,56,0,40169,0.24,166,1,12,1,11,7,344,336,8,1,1
shoes,2.0,Bata Pakistan,https://www.bata.com.pk/,13,0,0,24,0,www.bata.com.pk,8,0,6,0,34,0,12280,0.01,197,1,387,252,135,0,137,127,10,1,1
shoes,3.0,Welcome to UrbanSole Online Official Store | Shoes Shopping ...,https://www.urbansole.com.pk/,63,1,1,29,0,www.urbansole.com.pk,0,0,4,0,16,0,5664,0,278,0,101,42,59,0,49,45,4,1,1
shoes,4.0,Shoe - Wikipedia,https://en.wikipedia.org/wiki/Shoe,16,1,1,34,0,en.wikipedia.org,1,0,13,0,22,0,73121,0.33,0,0,47,39,8,0,1538,1279,259,1,1
shoes,5.0,"Shoes, Boots, Sneakers, Sandals | FREE Shipping | Shoes.com",https://www.shoes.com/,59,0,0,22,1,www.shoes.com,1,1,0,0,0,0,765,0.13,0,0,3,3,0,0,0,0,0,0,0
shoes,6.0,Unze London: Women Shoes | Men Shoes | Online Shopping ...,https://www.unze.com.pk/,58,1,1,24,0,www.unze.com.pk,3,0,1,0,13,0,43179,0.26,158,0,365,134,231,88,171,152,19,1,1
shoes,7.0,Men Shoes in Pakistan - Online & In store | Unze London,https://www.unze.com.pk/men-s-shoes,55,1,1,35,1,www.unze.com.pk,2,1,1,0,0,0,5941,0.56,150,0,145,122,23,2,123,104,19,1,1
shoes,8.0,"Metro Shoes - Buy Men Shoes, Women Footwear, Kids Shoes ...",https://www.metroshoes.net/,59,1,1,27,1,www.metroshoes.net,0,0,1,1,2,0,20079,0.45,171,1,94,4,90,18,286,276,10,1,1
shoes,9.0,Women's Shoes | Amazon.com,https://www.amazon.com/womens-shoes/b?ie=UTF8&node=679337011,26,1,1,60,1,www.amazon.com,1,1,0,0,1,1,25280,0.17,162,1,100,10,90,21,274,238,36,1,1
shoes,10.0,Borjan Shoes for Men & Women – Buy Handbags ...,https://www.borjan.com.pk/,47,1,1,26,0,www.borjan.com.pk,5,0,6,0,12,0,16176,0.05,159,1,60,46,14,0,118,107,11,1,1
shoes,11.0,"Shoes, Shipped FREE | Zappos.com",https://www.zappos.com/c/shoes,32,0,0,30,1,www.zappos.com,1,1,5,1,15,0,10830,0.37,141,1,29,8,21,0,386,376,10,1,1
shoes,12.0,TOMS® Official Site | We're in business to improve lives.,https://www.toms.com/,57,0,0,21,0,www.toms.com,3,1,9,0,6,0,10875,0.14,110,0,71,4,67,7,122,117,5,1,1
shoes,13.0,Court Shoes - Ladies Court Shoes - Stylo.pk,https://www.stylo.pk/collection/court-shoes,43,1,1,43,1,www.stylo.pk,2,1,12,1,1,0,11438,0.16,152,1,14,2,12,12,63,59,4,1,1
shoes,14.0,Buy Men Shoes Online – Breakout,https://breakout.com.pk/collections/men-shoes,31,1,1,45,1,breakout.com.pk,0,0,14,0,0,0,36050,0.04,161,1,72,60,12,2,124,121,3,1,1
shoes,15.0,"ALDO | ALDO Shoes, Boots, Sandals, Handbags & Accessories",https://www.aldoshoes.com/,57,0,0,26,1,www.aldoshoes.com,1,0,5,0,10,0,1392,0,188,0,27,2,25,0,90,70,20,1,1
shoes,16.0,Hush Puppies – hushpuppiespk,https://www.hushpuppies.com.pk/,28,0,0,31,0,www.hushpuppies.com.pk,0,0,7,0,10,0,17555,0.02,154,1,87,50,37,2,114,109,5,1,1
shoes,17.0,Women Shoes - Buy Latest Ladies Shoes Online | Mochi Shoes,https://www.mochishoes.com/women-shoes,58,1,1,38,1,www.mochishoes.com,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
shoes,18.0,"Men's Shoes, Men's Leather Shoes | Cat Footwear",https://www.catfootwear.com/US/en/mens-shoes/,47,1,1,45,1,www.catfootwear.com,2,0,10,0,21,0,16158,0.06,159,1,142,35,107,0,103,84,19,1,1
shoes,19.0,Buy Mens Sport Shoes Online | Decathlon India,https://www.decathlon.in/men-s-footwear/men-s-shoes-17128,45,1,1,57,1,www.decathlon.in,1,1,2,1,1,0,8142,0.79,143,0,224,61,163,94,61,50,11,1,1
shoes,20.0,Men's Footwear - Buy Branded Men's Shoes Online at Best ...,"https://www.flipkart.com/mens-footwear/pr?sid=osp,cil",59,1,1,53,0,www.flipkart.com,1,0,5,0,0,0,11027,0.83,265,1,108,100,8,3,117,107,10,1,1
shoes,21.0,Sports Shoes For Men - Buy Sports Shoes Online At Best ...,"https://www.flipkart.com/mens-footwear/sports-shoes/pr?sid=osp,cil,1cu",58,1,1,70,1,www.flipkart.com,1,1,4,1,0,0,10801,1.03,249,1,110,102,8,7,92,82,10,1,1
